"aus:vic:vic-01-ABY:","Seymour","Albury - Melbourne Via Seymour"
"aus:vic:vic-01-ART:","Ballarat","Ararat - Melbourne Via Ballarat"
"aus:vic:vic-01-BAT:","Ballarat","Ballarat - Melbourne Via Melton"
"aus:vic:vic-01-BDE:","Traralgon","Bairnsdale - Melbourne Via Traralgon & Sale"
"aus:vic:vic-01-BGO:","Bendigo","Bendigo - Melbourne Via Sunbury"
"aus:vic:vic-01-ECH:","Bendigo","Echuca/Moama - Melbourne Via Bendigo or Heathcote"
"aus:vic:vic-01-GEL:","Geelong","Geelong - Melbourne Via Geelong"
"aus:vic:vic-01-MBY:","Ballarat","Maryborough - Melbourne Via Ballarat"
"aus:vic:vic-01-SER:","Seymour","Seymour - Melbourne Via Broadmeadows"
"aus:vic:vic-01-SNH:","Seymour","Shepparton - Melbourne Via Seymour"
"aus:vic:vic-01-SWL:","Bendigo","Swan Hill - Melbourne Via Bendigo"
"aus:vic:vic-01-TRN:","Traralgon","Traralgon - Melbourne Via Pakenha"
"aus:vic:vic-01-vPK:","Pakenham","Pakenham - City Via Pakenham"
"aus:vic:vic-01-WBL:","Geelong","Warrnambool - Melbourne Via Geelong & Colac"
"aus:vic:vic-02-ALM:","Alamein","Alamein - City"
"aus:vic:vic-02-BEG:","Belgrave","Belgrave - City"
"aus:vic:vic-02-CBE:","Cranbourne","Cranbourne - City"
"aus:vic:vic-02-CCL:","City Circle",""
"aus:vic:vic-02-CGB:","Craigieburn","Craigieburn - City"
"aus:vic:vic-02-FKN:","Frankston","Frankston - City"
"aus:vic:vic-02-GWY:","Glen Waverley","Glen Waverley - City"
"aus:vic:vic-02-HBE:","Hurstbridge","Hurstbridge - City"
"aus:vic:vic-02-LIL:","Lilydale","Lilydale - City"
"aus:vic:vic-02-MDD:","Mernda","Mernda - City"
"aus:vic:vic-02-PKM:","Pakenham","Pakenham - City"
"aus:vic:vic-02-RCE:","Flemington Racecourse","Flemington Racecourse - City"
"aus:vic:vic-02-SHM:","Sandringham","Sandringham - City"
"aus:vic:vic-02-STY:","Stony Point","Stony Point - Frankston"
"aus:vic:vic-02-SUY:","Sunbury","Sunbury - City"
"aus:vic:vic-02-UFD:","Upfield","Upfield - City"
"aus:vic:vic-02-WER:","Werribee","Werribee - City"
"aus:vic:vic-02-WIL:","Williamstown","Williamstown - City"
"aus:vic:vic-03-1:","1","South Melbourne Beach - East Coburg"
"aus:vic:vic-03-109:","109","Port Melbourne - Box Hill"
